plant_id,commodity_type,diameter_cm,wet_date,measure_date,irregular,position
1522,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518224349225, 36.66977066339031)"
1796,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053459332293, 36.66967162729702)"
2198,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556452883384, 36.669496921353556)"
847,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532860549529, 36.66967652317971)"
2797,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517976322213, 36.66971151818871)"
594,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548704261876, 36.6695809605241)"
2630,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529903368213, 36.66964663045671)"
1432,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510321625672, 36.669803007819034)"
2368,LTC,20,2021-04-01,2021-04-01,false,"(-121.60546314138551, 36.6695518539474)"
2653,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528817583868, 36.66965761836317)"
2303,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549836433837, 36.669532997510785)"
2312,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550405286777, 36.669534021109605)"
4403,LTC,20,2021-04-01,2021-04-01,false,"(-121.60541078432477, 36.66976602875159)"
2341,LTC,20,2021-04-01,2021-04-01,false,"(-121.60547643079795, 36.66954511617495)"
573,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550230786487, 36.669570707946534)"
1650,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525562530208, 36.66972559657143)"
2749,LTC,20,2021-04-01,2021-04-01,false,"(-121.60522612304578, 36.66969059415397)"
1411,LTC,20,2021-04-01,2021-04-01,false,"(-121.6050850686862, 36.66980838144138)"
2631,LTC,20,2021-04-01,2021-04-01,false,"(-121.60530054478775, 36.66964972786537)"
1338,LTC,20,2021-04-01,2021-04-01,false,"(-121.60504368744755, 36.66982592391913)"
1339,LTC,20,2021-04-01,2021-04-01,false,"(-121.60503811634437, 36.66982491624917)"
1680,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527253595224, 36.669711199529246)"
1681,LTC,20,2021-04-01,2021-04-01,false,"(-121.60526959103338, 36.6697118748188)"
2652,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528068639015, 36.66965885894308)"
2656,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528808724703, 36.66965922344338)"
742,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053923855323, 36.66963599115696)"
765,LTC,20,2021-04-01,2021-04-01,false,"(-121.605379315934, 36.669649956739065)"
37,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557504569874, 36.66949877201128)"
2274,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550859938621, 36.66952721476906)"
440,LTC,20,2021-04-01,2021-04-01,false,"(-121.60558092987011, 36.66953097924528)"
4404,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540881991899, 36.66976357661477)"
1524,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518308712346, 36.669770245928355)"
2893,LTC,20,2021-04-01,2021-04-01,false,"(-121.60511725122217, 36.669747054522205)"
2202,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556473966477, 36.669500644540705)"
2207,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556339700946, 36.66949855921587)"
2731,LTC,20,2021-04-01,2021-04-01,false,"(-121.60523663299185, 36.66968318356258)"
53,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557379337541, 36.6694998699316)"
598,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548627269036, 36.66958134606462)"
1433,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510278020118, 36.669799520029706)"
1387,LTC,20,2021-04-01,2021-04-01,false,"(-121.60506816216687, 36.66981555301127)"
3220,LTC,20,2021-04-01,2021-04-01,false,"(-121.60512125241794, 36.669781326155594)"
1523,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518388297322, 36.6697656295737)"
2632,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529751683374, 36.66964736962057)"
2633,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529346379727, 36.66964957389135)"
2366,LTC,20,2021-04-01,2021-04-01,false,"(-121.60546505469068, 36.66955490774056)"
1651,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525377110994, 36.669722893413685)"
1842,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537017728771, 36.6696580840711)"
2821,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051659397731, 36.669715984517374)"
4425,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540352910411, 36.66976798545594)"
1720,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529471457589, 36.66969761728159)"
574,LTC,20,2021-04-01,2021-04-01,false,"(-121.6055017944191, 36.669575646344484)"
1798,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534229258388, 36.669673855939365)"
3153,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508932482294, 36.66980053953398)"
3154,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508711066028, 36.669798044702425)"
2917,LTC,20,2021-04-01,2021-04-01,false,"(-121.60509685764096, 36.66975837380843)"
2305,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549617039165, 36.669533598819896)"
2314,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550290251093, 36.66953404021346)"
2315,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550060662669, 36.66953190743476)"
2203,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556163637604, 36.669498660330376)"
59,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557691499984, 36.669501110556325)"
2798,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518196102493, 36.66970699632643)"
2873,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513403436053, 36.66974050612935)"
2877,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051321915209, 36.66973722059318)"
2657,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528491446613, 36.669656937390826)"
443,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557889267919, 36.66953235247005)"
2855,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051498481922, 36.669726672408125)"
815,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534300788676, 36.66966606927985)"
1528,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051823514371, 36.66977040921149)"
2205,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556304098625, 36.66950176358644)"
2942,LTC,20,2021-04-01,2021-04-01,false,"(-121.60507463571767, 36.669771800176)"
2799,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518318804925, 36.669709681544376)"
1682,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527037943255, 36.669711366878374)"
1867,LTC,20,2021-04-01,2021-04-01,false,"(-121.60538558150182, 36.66965022223586)"
1868,LTC,20,2021-04-01,2021-04-01,false,"(-121.60538306475313, 36.66964770546204)"
1870,LTC,20,2021-04-01,2021-04-01,false,"(-121.60538690722622, 36.66964899702257)"
575,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549867808336, 36.669572841395194)"
2342,LTC,20,2021-04-01,2021-04-01,false,"(-121.60547850594747, 36.669542846675114)"
60,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557226531013, 36.669500313464205)"
2726,LTC,20,2021-04-01,2021-04-01,false,"(-121.60523662934023, 36.66968358637908)"
61,LTC,20,2021-04-01,2021-04-01,false,"(-121.6055759568471, 36.669501424659416)"
457,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557806907434, 36.669534994341575)"
458,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557768731813, 36.669535295650796)"
2399,LTC,20,2021-04-01,2021-04-01,false,"(-121.60544464619281, 36.669563190614014)"
601,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548442165275, 36.66958294990213)"
602,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548747438793, 36.669585612152765)"
3239,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051395389634, 36.66977222501423)"
3244,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513810688774, 36.66977295641793)"
3247,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513884267239, 36.66977258805458)"
1365,LTC,20,2021-04-01,2021-04-01,false,"(-121.60504602120335, 36.669826032649055)"
2849,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514688836787, 36.669730417984006)"
1529,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518029185947, 36.6697672592189)"
2850,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514975460609, 36.6697267496892)"
2635,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529291034294, 36.669651256342966)"
2918,LTC,20,2021-04-01,2021-04-01,false,"(-121.60509821011742, 36.669760786513145)"
582,LTC,20,2021-04-01,2021-04-01,false,"(-121.60550004281411, 36.66957613958746)"
1846,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537075383436, 36.66965662420418)"
62,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557436152526, 36.66949854940848)"
63,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557083324905, 36.669501492870545)"
1316,LTC,20,2021-04-01,2021-04-01,false,"(-121.6050426024135, 36.66982174012561)"
844,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532224272502, 36.669676400189836)"
2422,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542689745292, 36.6695732180127)"
3165,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508768764073, 36.66979754123896)"
2874,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513217965006, 36.66973817479885)"
2879,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513336564965, 36.669740323759406)"
2774,LTC,20,2021-04-01,2021-04-01,false,"(-121.60520181329441, 36.66970072978031)"
75,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556670207274, 36.66950180715119)"
1891,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540374608532, 36.66964629021347)"
3133,LTC,20,2021-04-01,2021-04-01,false,"(-121.6050727353703, 36.66980803768706)"
3137,LTC,20,2021-04-01,2021-04-01,false,"(-121.60507389211571, 36.66980733230725)"
1601,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052536306927, 36.66972735105451)"
1817,LTC,20,2021-04-01,2021-04-01,false,"(-121.60535123071836, 36.66966406048424)"
477,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557048401786, 36.66953527560708)"
1412,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508688096378, 36.66980763834829)"
1417,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508673839256, 36.66980778969462)"
2634,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529628957782, 36.669649130725894)"
2661,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528329294934, 36.66965793753894)"
790,LTC,20,2021-04-01,2021-04-01,false,"(-121.60536358641306, 36.6696600359253)"
791,LTC,20,2021-04-01,2021-04-01,false,"(-121.60536123651666, 36.66965765090259)"
4405,LTC,20,2021-04-01,2021-04-01,false,"(-121.60541114331075, 36.66976641156339)"
4408,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540825173763, 36.669764406626975)"
1602,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525169106369, 36.66972463267698)"
1775,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532844991437, 36.669682217489324)"
1777,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533088748063, 36.66968071100428)"
3183,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510662226014, 36.6697922132566)"
2636,LTC,20,2021-04-01,2021-04-01,false,"(-121.60529728493121, 36.66965226989564)"
65,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557101160217, 36.66950096109592)"
1656,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525676230704, 36.66972493417107)"
2664,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527957417953, 36.66966081118925)"
3115,LTC,20,2021-04-01,2021-04-01,false,"(-121.60505182662287, 36.669811612194415)"
1614,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052511482504, 36.669724545796996)"
2894,LTC,20,2021-04-01,2021-04-01,false,"(-121.60511438937688, 36.66975245464653)"
2665,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528147189265, 36.66965882062588)"
450,LTC,20,2021-04-01,2021-04-01,false,"(-121.60558313701742, 36.66953368611511)"
2724,LTC,20,2021-04-01,2021-04-01,false,"(-121.60523372814909, 36.669688934090445)"
1845,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537005249509, 36.66965485322519)"
2823,LTC,20,2021-04-01,2021-04-01,false,"(-121.60516714128985, 36.669720233951914)"
1534,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518151396316, 36.66976654725168)"
3156,LTC,20,2021-04-01,2021-04-01,false,"(-121.60509054943329, 36.66980001972559)"
3157,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508796724949, 36.669797204634854)"
746,LTC,20,2021-04-01,2021-04-01,false,"(-121.60539138531503, 36.669636589244206)"
2668,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528026263383, 36.66965917604608)"
4427,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540232700744, 36.66976874830168)"
77,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556728853969, 36.66950499436698)"
1685,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052729602366, 36.669713075316665)"
768,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537334176405, 36.669652796763664)"
1613,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052540599621, 36.66972657648812)"
1390,LTC,20,2021-04-01,2021-04-01,false,"(-121.6050651095965, 36.669813893124406)"
2426,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542849234132, 36.66957688021825)"
66,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557253070215, 36.669499798736155)"
1622,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525121851072, 36.6697243371177)"
2688,LTC,20,2021-04-01,2021-04-01,false,"(-121.60526241949836, 36.669674575085146)"
1848,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537463413209, 36.66965151380462)"
1434,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510637761404, 36.66980191164302)"
673,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542520501942, 36.669621171024566)"
674,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542736550273, 36.66962398502207)"
3184,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051053019876, 36.66978892133326)"
2308,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549720019426, 36.66953605395468)"
2773,LTC,20,2021-04-01,2021-04-01,false,"(-121.60519632267105, 36.669702756013045)"
792,LTC,20,2021-04-01,2021-04-01,false,"(-121.60536049424802, 36.669657998157206)"
747,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053920570484, 36.66964025013468)"
751,LTC,20,2021-04-01,2021-04-01,false,"(-121.60539261453007, 36.66963964249184)"
1610,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525703704256, 36.669724218300864)"
1654,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525579135773, 36.66972174897358)"
2689,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052648474392, 36.66967299263801)"
2750,LTC,20,2021-04-01,2021-04-01,false,"(-121.60522181486748, 36.66969316617647)"
1370,LTC,20,2021-04-01,2021-04-01,false,"(-121.60504604329417, 36.66982225088636)"
1530,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518248573932, 36.66976932094949)"
1535,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517980182082, 36.66976702271513)"
71,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557591708378, 36.669501542612394)"
2667,LTC,20,2021-04-01,2021-04-01,false,"(-121.60528035641869, 36.66966358470732)"
2669,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527810054774, 36.6696612152686)"
1413,LTC,20,2021-04-01,2021-04-01,false,"(-121.60508489830177, 36.66980536040627)"
1780,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532634981296, 36.66967928944129)"
1782,LTC,20,2021-04-01,2021-04-01,false,"(-121.605329057623, 36.66968237262346)"
2283,LTC,20,2021-04-01,2021-04-01,false,"(-121.60551011810016, 36.66952955566754)"
2592,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053216598497, 36.66963599488336)"
1612,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525753284986, 36.669724446178066)"
1621,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052553399311, 36.66972562244043)"
1558,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518684402007, 36.669767853211404)"
1827,LTC,20,2021-04-01,2021-04-01,false,"(-121.60536235207069, 36.6696616066715)"
3159,LTC,20,2021-04-01,2021-04-01,false,"(-121.60509126096298, 36.669799457071264)"
4406,LTC,20,2021-04-01,2021-04-01,false,"(-121.60541132755893, 36.669766600855)"
771,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537360313641, 36.669649387118284)"
1895,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540581524073, 36.66964576328641)"
79,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556425492635, 36.66950625605188)"
81,LTC,20,2021-04-01,2021-04-01,false,"(-121.6055616579484, 36.66950398769162)"
73,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557545823687, 36.66950147975322)"
2373,LTC,20,2021-04-01,2021-04-01,false,"(-121.60546240848771, 36.66955693800099)"
719,LTC,20,2021-04-01,2021-04-01,false,"(-121.6054031880154, 36.669632740712444)"
724,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540560941837, 36.66963150915538)"
3241,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514124260601, 36.66977483159924)"
92,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556337041756, 36.66950715179404)"
604,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548454927515, 36.66958748632892)"
609,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548238594949, 36.66958477862489)"
2309,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549617415504, 36.66953686759446)"
2310,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549840147686, 36.669532205645574)"
1655,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525813755365, 36.669723925366675)"
1869,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053865267462, 36.66964712478132)"
2826,LTC,20,2021-04-01,2021-04-01,false,"(-121.60516474284161, 36.66971792376178)"
2568,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533577530116, 36.66962727441219)"
80,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555997313232, 36.66950485309899)"
2896,LTC,20,2021-04-01,2021-04-01,false,"(-121.60511570939096, 36.669751582563265)"
